#      n_Li         E_nn       E_site            f          f_I          D_t       D_c oll       n_oct        n_tet

# E_nn = 0.0 E_site = 0.0
          1          1.0          2.0        1.005        1.005    2.020E-07    2.020E-07         0.21         0.79
         32          1.0          2.0        0.921        0.974    1.751E-07    1.852E-07         6.80        25.20
         64          1.0          2.0        0.841        0.974    1.501E-07    1.739E-07        13.70        50.30
         96          1.0          2.0        0.760        0.960    1.266E-07    1.599E-07        21.07        74.93
        128          1.0          2.0        0.683        0.893    1.061E-07    1.388E-07        29.74        98.26
        160          1.0          2.0        0.623        0.887    9.124E-08    1.300E-07        41.35       118.65
        192          1.0          2.0        0.584        0.883    8.303E-08    1.255E-07        58.13       133.87
        224          1.0          2.0        0.563        0.879    8.016E-08    1.252E-07        81.06       142.94
        256          1.0          2.0        0.545        0.884    7.920E-08    1.285E-07       108.64       147.36
        288          1.0          2.0        0.520        0.899    7.701E-08    1.330E-07       138.69       149.31
        320          1.0          2.0        0.488        0.906    7.236E-08    1.343E-07       169.73       150.27
        352          1.0          2.0        0.451        0.908    6.548E-08    1.317E-07       200.78       151.22
        384          1.0          2.0        0.415        0.907    5.722E-08    1.250E-07       231.19       152.81
        416          1.0          2.0        0.380        0.912    4.790E-08    1.149E-07       260.46       155.54
        448          1.0          2.0        0.349        0.922    3.819E-08    1.009E-07       288.29       159.71
        480          1.0          2.0        0.321        0.931    2.837E-08    8.235E-08       314.48       165.52
        512          1.0          2.0        0.297        0.958    1.870E-08    6.029E-08       339.05       172.95
        544          1.0          2.0        0.274        0.975    9.142E-09    3.252E-08       362.14       181.86
        575          1.0          2.0        0.250        0.999    2.741E-10    1.094E-09       383.33       191.67

# E_nn = 1.0 E_site = 3.0
          1          1.0          3.0        0.995        0.995    8.508E-08    8.508E-08         0.09         0.91
         32          1.0          3.0        0.895        0.969    7.030E-08    7.615E-08         2.83        29.17
         64          1.0          3.0        0.780        0.922    5.558E-08    6.568E-08         5.60        58.40
         96          1.0          3.0        0.666        0.844    4.249E-08    5.386E-08         8.50        87.50
        128          1.0          3.0        0.551        0.762    3.116E-08    4.307E-08        12.06       115.94
        160          1.0          3.0        0.451        0.675    2.260E-08    3.385E-08        17.87       142.13
        192          1.0          3.0        0.405        0.615    1.888E-08    2.865E-08        30.24       161.76
        224          1.0          3.0        0.426        0.669    2.021E-08    3.169E-08        52.71       171.29
        256          1.0          3.0        0.455        0.725    2.296E-08    3.653E-08        81.32       174.68
        288          1.0          3.0        0.462        0.784    2.474E-08    4.202E-08       112.20       175.80
        320          1.0          3.0        0.450        0.810    2.519E-08    4.532E-08       143.82       176.18
        352          1.0          3.0        0.428        0.852    2.433E-08    4.838E-08       175.59       176.41
        384          1.0          3.0        0.402        0.867    2.245E-08    4.847E-08       207.20       176.80
        416          1.0          3.0        0.373        0.900    1.971E-08    4.758E-08       238.43       177.57
